approach,num_threads,runtime1,runtime2,runtime3,mean_runtime
omp_reduction,2,3.414,3.387,3.412,3.40433333333333
omp_reduction,4,1.96,1.92,1.922,1.934
omp_reduction,6,2.056,2.032,2.059,2.049
omp_reduction,8,1.954,1.906,1.982,1.94733333333333
critical_zone,2,67.186,56.189,63.605,62.3266666666667
critical_zone,4,105.014,121.996,120.768,115.926
critical_zone,6,102.374,104.144,126.088,110.868666666667
critical_zone,8,103.536,108.407,95.778,102.573666666667
helper_array,2,7.687,7.337,7.42,7.48133333333333
helper_array,4,8.268,8.508,7.881,8.219
helper_array,6,6.769,6.646,7.738,7.051
helper_array,8,6.765,7.364,7.348,7.159
